Cat,Item Number,Description,Cost,Supplier,Barcode Number,List,Last Cost,Cost at 3/9/2026,In Stock
100,04327,3 Outlet Grd HD Tap,1.4721,American Insulated Wire Corp.,,3.0,1.4721,1.4721,5.0
100,101518,"Safety Signs 'Danger Sign Arc Flash Hazard' (2"" x 4"")",0.7,AMAZON LLC,,2.0,0.7,0.7,14.0
100,1125TN,10pc GE Magnetic Closet Contact Sensor,38.24,EBAY,,41.99999999999999,38.1,38.1,0.0
100,11591,Linnen Tags 50pcs,2.6785,H. Schacht Electrical Supply Inc.,,4.0,2.6785,2.6785,6.0
100,1201LK-BOX,Replacement Key for Key Switch,1.0,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.75,1.0,1.0,86.0
100,1209W,Replacement Surge Protector Module,10.35,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,15.75,10.35,10.35,53.0
100,1269,Round Recessed Magnet Reed Switch Contact Set Closed Circuit,4.8,LEE ELECTRIC INC.,,7.0,4.8,4.8,4.0
100,15420,Pro Dope Thread Seal Pipe Joint Compound 8oz,3.67,Emery Jensen Distribution East,,5.75,3.6918,3.6918,4.0
100,20-410,18 -10 Crimp Sleeve Connectors 12Pk,0.84,Gardner Bender Inc./ECM Industries LLC,,1.75,0.84,0.84,7.0
100,20-411,18 - 8 Crimp Sleeve Connectors 8Pk,0.85,Gardner Bender Inc./ECM Industries LLC,,1.7499999999999998,0.85,0.85,9.0
100,21278,Wire Marker Marking Book,5.99,Morris Products Inc.,,10.5,5.99,5.99,9.0
100,21338,"277 Volts (1-1/4"" x 4-1/2"") 20 Labels",9.55,Morris Products Inc.,,15.500000000000002,9.55,9.55,1.0
100,21340,"277 Volts (1/2"" x 2-1/4"") 90 Labels",9.55,Morris Products Inc.,,15.500000000000002,9.55,9.55,6.0
100,21372,"480 Volts Marker (1-1/4"" x 4-1/2"") 20 Labels",9.55,Morris Products Inc.,,15.500000000000002,9.55,9.55,0.0
100,21438,"Safety Signs 'Danger Sign Arc Flash Hazard' (7"" x 5"")",4.9875,Morris Products Inc.,,9.999999999999998,4.9875,4.9875,0.0
100,2160A,Decora Blank Filler Plate Almond,2.5,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.25,1.62,1.62,0.0
100,2160B,Decora Blank Filler Plate Brown,1.62,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,3.5,1.62,1.62,20.0
100,2160BK,Decora Blank Filler Plate Black,2.75,International Electric,,4.25,1.62,1.62,0.0
100,2160V,Decora Blank Filler Plate Ivory,1.62,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.25,1.62,1.62,2.0
100,2160W,Decora Blank Filler Plate White,2.62,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.249999999999999,2.62,2.62,53.0
100,2161W,Decora to Toggle Adaptor Plate White,1.4400000000000002,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,3.3500000000000005,1.44,1.44,104.0
100,30316,15A Max PlugMax ECO 3-Outlet Grounded Adapter with On/Off Switch,3.3121,Plastic Express Inc.,,6.0,3.3121,3.3121,23.0
100,33-081,Alligator Clip Insulator Red,0.19,GC Waldom Electronics,,0.6,0.19,0.19,0.0
100,33-082,Alligator Clip Insulator Black,0.19,GC Waldom Electronics,,0.6,0.19,0.19,0.0
100,34058,"24"" Plastic Polymer Water Heater Pan",7.24,Emery Jensen Distribution East,,10.999999999999998,51.14,51.14,0.0
100,35-060-BU,Swtich Rubber Cap,1.25,Morris Products Inc.,,3.0,1.25,1.25,5.0
100,35-437-BU,Push Button Cap Red,0.98,GC Waldom Electronics,,1.95,0.98,0.98,0.0
100,35-438-BU,Push Button Cap Black,0.48,GC Waldom Electronics,,1.7500000000000002,0.48,0.48,0.0
100,353770,V Rocker Switch,0.96,GC Waldom Electronics,,4.25,0.96,0.96,3.0
100,353795,Light Rocker Swtich SPST ON-OFF,2.98,Morris Products Inc.,,5.0,3.04,3.04,6.0
100,419GY,2 - 3 Adaptor Gy,0.358,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,1.5000000000000002,0.37,0.37,25.0
100,42-040,Household Marking Book,1.1,Gardner Bender Inc./ECM Industries LLC,,2.0,1.1,1.1,14.0
100,44-360,IDEAL 277 VOLTS LABEL,3.0,"IDEAL Industries, Inc.",,5.0,3.0,3.0,0.0
100,496B,"Wall Switch Lockout, Red, 5/16 In. Dia. for Decora and Toggle Switch",9.93,GRAINGER,,16.0,9.93,9.93,0.0
100,49906,"1"" x 3"" Write-On Wire Marking Book",6.430000000000001,3M Electrical Markers Division,,19.75,6.43,6.43,9.0
100,49953,1-45 Wire Marking Book,6.63,3M Electrical Markers Division,,10.0,6.63,6.63,7.0
100,49963,46-90 Wire Marking Book,8.8,3M Electrical Markers Division,,13.5,4.83,4.83,0.0
100,49965,Panel Box Circuit Marking Book,4.83,3M Electrical Markers Division,,14.0,4.83,4.83,10.0
100,53726SEN,BX Cutter Replacement Roto Blade,6.377400000000001,"Klein Tools, Inc.",,9.25,6.64,6.64,31.0
100,5436,"Breaker Label 1"" x 3"" 250 PCS",4.4375,AMAZON LLC,,7.749999999999998,4.4375,4.4375,1.0
100,56250,1-45 Wire Marking Book,6.69,"Klein Tools, Inc.",,10.0,6.69,6.69,0.0
100,56251,1-45 Wire Marking Book 120/240v 3 Phase,6.69,"Klein Tools, Inc.",,10.0,6.69,6.69,0.0
100,56252,1-45 Wire Marking Book 277/480v 3 Phase,6.69,"Klein Tools, Inc.",,10.0,,,0.0
100,6728,"Breaker Label 1"" x 3"" 72 PCS",4.89,AMAZON LLC,,7.0,4.89,4.89,0.0
100,71V,12 Hour Time Control,19.58,BROAN - NUTONE LLC,,29.500000000000004,19.58,19.58,3.0
100,73410,Cable Splice Kit,2.82,"BRYANT ELECTRIC, INC.",,5.5,2.82,2.82,12.0
100,743V-BOX,Triplex Receptacle Ivory,1.489,International Electric,,3.0000000000000004,1.489,1.489,11.0
